Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
12805515DS,Not Found,"jersey, brand logo, solid color, round collar, short sleeves, no pockets",VALVOLA.,,T-shirt,"HOME, Men, T-Shirts and Tops, T-shirts, VALVOLA.",True,https://www.yoox.com/us/12805515DS/item#dept=clothingmen&sts=SearchResult,Color,Dark blue,Size,S,,,,,,,deny,manual,44,,True,True,,https://cdn.yoox.biz//images/items/12/12805515DS_14_f.jpg,1,,False,,,,,,,T-shirt,,,False,,,,,,https://cdn.yoox.biz//images/items/12/12805515DS_14_f.jpg,g,,,active
12805515DS,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,https://cdn.yoox.biz//images/items/12/12805515DS_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
12805515DS,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,https://cdn.yoox.biz//images/items/12/12805515DS_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
12805515DS,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,https://cdn.yoox.biz//images/items/12/12805515DS_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
12781181LM,"PUMA X AMI 
","piqué, brand logo, stripes, polo collar, short sleeves, button closing, lifestyle",PUMA x AMI ALEXANDRE MATTIUSSI,,Polo shirt,"HOME, Men, T-Shirts and Tops, Polo shirts, PUMA x AMI ALEXANDRE MATTIUSSI",True,https://www.yoox.com/us/12781181LM/item#dept=clothingmen&sts=SearchResult,Color,Bright blue,Size,S,,,,,,,deny,manual,106,,True,True,,https://cdn.yoox.biz//images/items/12/12781181LM_14_f.jpg,1,,False,,,,,,,Polo shirt,,,False,,,,,,https://cdn.yoox.biz//images/items/12/12781181LM_14_f.jpg,g,,,active
12781181LM,,,,,,,,,,Bright blue,,M,,,,,,,deny,manual,106,,True,True,,https://cdn.yoox.biz//images/items/12/12781181LM_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
12781181LM,,,,,,,,,,Bright blue,,L,,,,,,,deny,manual,106,,True,True,,https://cdn.yoox.biz//images/items/12/12781181LM_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
12781181LM,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,https://cdn.yoox.biz//images/items/12/12781181LM_14_e.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
12781181LM,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,https://cdn.yoox.biz//images/items/12/12781181LM_14_a.jpg,5,,,,,,,,,,,,,,,,,,,g,,,
12812195UI,Not Found,"jersey, brand logo, stripes, round collar, short sleeves, no pockets",RVLT/REVOLUTION,,T-shirt,"HOME, Men, T-Shirts and Tops, T-shirts, RVLT/REVOLUTION",True,https://www.yoox.com/us/12812195UI/item#dept=clothingmen&sts=SearchResult,Color,Light green,Size,XL,,,,,,,deny,manual,39,,True,True,,https://cdn.yoox.biz//images/items/12/12812195UI_14_f.jpg,1,,False,,,,,,,T-shirt,,,False,,,,,,https://cdn.yoox.biz//images/items/12/12812195UI_14_f.jpg,g,,,active
